tool,timeout,benchmark,run_number,cut,tests,uncompilable,broken,failing,lines_total,lines_covered,lines_coverage_ratio,branches_total,branches_covered,branches_coverage_ratio,mutants_total,mutants_covered,mutants_coverage_ratio,mutants_killed,mutants_killed_ratio
evosuite-mo,30,SPOON-9,3,spoon.support.reflect.cu.position.SourcePositionImpl,94,0,11,0,78,76,97.4359,56,54,96.42857,93,91,97.849464,91,97.849464
evosuite-mo,30,FASTJSON-104,1,com.alibaba.fastjson.support.spring.FastJsonHttpMessageConverter,68,0,3,0,82,73,89.02439,20,14,70.0,5,0,0.0,0,0.0
evosuite-mo,30,FASTJSON-79,1,com.alibaba.fastjson.parser.ParserConfig,198,0,48,0,518,410,79.15058,410,274,66.82927,22,0,0.0,0,0.0
evosuite-mo,30,FASTJSON-49,1,com.alibaba.fastjson.serializer.ArraySerializer,5,0,0,0,28,6,21.428572,14,1,7.1428576,14,1,7.1428576,1,7.1428576
evosuite-mo,30,SPOON-169,2,spoon.support.reflect.code.CtStatementListImpl,8,0,0,0,80,20,25.0,36,7,19.444445,50,16,32.0,16,32.0
evosuite-mo,30,GUAVA-174,1,com.google.common.collect.TopKSelector,0,0,0,0,79,0,0.0,36,0,0.0,0,0,0.0,0,0.0
evosuite-mo,30,SEATA-9,3,io.seata.core.rpc.netty.RpcServerHandler,16,0,0,0,27,27,100.0,8,7,87.5,6,6,100.0,6,100.0
evosuite-mo,30,GUAVA-197,2,com.google.common.primitives.Booleans,87,0,0,0,75,75,100.0,52,52,100.0,92,92,100.0,92,100.0
evosuite-mo,30,FASTJSON-50,2,com.alibaba.fastjson.parser.DefaultJSONParser,101,0,1,0,947,219,23.12566,570,87,15.263158,150,0,0.0,0,0.0
evosuite-mo,30,SPOON-155,2,spoon.support.compiler.jdt.JDTSnippetCompiler,27,0,1,0,25,25,100.0,8,7,87.5,15,15,100.0,15,100.0
evosuite-mo,30,SPOON-103,2,spoon.support.reflect.code.CtAssignmentImpl,1,1,0,0,45,0,0.0,18,0,0.0,29,0,0.0,0,0.0
evosuite-mo,30,SEATA-9,1,io.seata.core.rpc.netty.RpcServerHandler,17,0,0,0,27,27,100.0,8,7,87.5,6,6,100.0,6,100.0
evosuite-mo,30,SEATA-32,2,io.seata.core.protocol.transaction.GlobalBeginResponse,31,0,0,0,36,36,100.0,12,12,100.0,17,17,100.0,17,100.0
evosuite-mo,30,FASTJSON-4,3,com.alibaba.fastjson.serializer.BooleanCodec,9,0,0,0,36,9,25.0,16,1,6.25,18,2,11.111112,2,11.111112
evosuite-mo,30,SPOON-11,2,spoon.reflect.factory.TypeFactory,92,1,0,0,217,0,0.0,70,0,0.0,121,0,0.0,0,0.0
evosuite-mo,30,GUAVA-249,1,com.google.common.io.FileBackedOutputStream,41,0,0,0,50,50,100.0,16,16,100.0,30,30,100.0,30,100.0
evosuite-mo,30,FASTJSON-59,2,com.alibaba.fastjson.asm.Type,109,0,0,0,93,0,0.0,62,0,0.0,78,0,0.0,0,0.0
evosuite-mo,30,GUAVA-114,3,com.google.common.util.concurrent.AtomicDoubleArray,40,0,0,0,59,57,96.61017,14,12,85.71429,34,34,100.0,34,100.0
evosuite-mo,30,SPOON-151,3,spoon.support.compiler.jdt.JDTBatchCompiler,26,0,2,0,76,24,31.578945,40,12,30.000002,39,14,35.897438,14,35.897438
evosuite-mo,30,GUAVA-275,3,com.google.common.math.PairedStatsAccumulator,61,0,0,0,60,60,100.0,38,38,100.0,75,75,100.0,75,100.0
evosuite-mo,30,FASTJSON-93,2,com.alibaba.fastjson.asm.ByteVector,45,0,0,0,73,0,0.0,24,0,0.0,73,0,0.0,0,0.0
evosuite-mo,30,GUAVA-78,1,com.google.common.collect.Queues,14,0,0,0,75,38,50.666664,26,12,46.153847,56,34,60.714287,34,60.714287
evosuite-mo,30,GUAVA-21,3,com.google.common.base.internal.Finalizer,0,0,0,0,65,0,0.0,20,0,0.0,0,0,0.0,0,0.0
evosuite-mo,30,SEATA-16,2,io.seata.core.store.StoreMode,6,0,0,0,7,0,0.0,4,0,0.0,5,0,0.0,0,0.0
evosuite-mo,30,SEATA-25,3,io.seata.core.rpc.netty.NettyPoolableFactory,30,0,3,0,60,39,65.0,36,20,55.555557,11,0,0.0,0,0.0
evosuite-mo,30,GUAVA-260,2,com.google.common.collect.TreeRangeMap,43,0,0,0,86,71,82.558136,36,25,69.44444,10,0,0.0,0,0.0
evosuite-mo,30,GUAVA-260,1,com.google.common.collect.TreeRangeMap,37,0,1,0,86,47,54.651165,36,14,38.88889,21,0,0.0,0,0.0
evosuite-mo,30,SPOON-169,3,spoon.support.reflect.code.CtStatementListImpl,11,0,0,0,80,33,41.25,36,10,27.777779,27,0,0.0,0,0.0
evosuite-mo,30,SPOON-19,1,spoon.reflect.visitor.filter.LineFilter,3,0,0,0,22,10,45.454548,16,5,31.25,16,6,37.5,6,37.5
evosuite-mo,30,SEATA-24,1,io.seata.core.protocol.transaction.BranchReportRequest,49,0,3,0,88,87,98.86364,22,22,100.0,30,29,96.666664,29,96.666664
evosuite-mo,30,FASTJSON-105,1,com.alibaba.fastjson.JSONReader,117,0,2,0,157,141,89.808914,63,49,77.77778,75,66,88.0,66,88.0
evosuite-mo,30,SPOON-101,3,spoon.reflect.visitor.PrintingContext,43,0,0,0,34,34,100.0,24,24,100.0,34,34,100.0,34,100.0
evosuite-mo,30,SEATA-12,2,io.seata.core.rpc.netty.ShutdownHook,12,0,6,0,25,22,88.0,8,6,75.0,7,6,85.71429,6,85.71429
evosuite-mo,30,GUAVA-114,2,com.google.common.util.concurrent.AtomicDoubleArray,43,0,2,0,59,55,93.220345,14,10,71.42857,34,33,97.05882,33,97.05882
evosuite-mo,30,GUAVA-153,3,com.google.common.collect.ReverseOrdering,16,1,0,0,21,0,0.0,4,0,0.0,18,0,0.0,0,0.0
evosuite-mo,30,SPOON-167,1,spoon.support.reflect.CtExtendedModifier,25,0,0,0,26,26,100.0,16,16,100.0,18,18,100.0,18,100.0
evosuite-mo,30,GUAVA-260,3,com.google.common.collect.TreeRangeMap,13,0,2,0,86,36,41.860466,36,10,27.777779,47,22,46.80851,22,46.80851
evosuite-mo,30,SEATA-15,2,io.seata.core.rpc.netty.RpcServer,1,0,0,0,102,1,0.9803922,44,0,0.0,42,0,0.0,0,0.0
evosuite-mo,30,SEATA-19,1,io.seata.core.protocol.RegisterRMRequest,46,0,0,0,62,62,100.0,26,26,100.0,0,0,0.0,0,0.0
evosuite-mo,30,SPOON-163,2,spoon.pattern.internal.node.MapEntryNode,27,0,0,0,38,30,78.94737,20,12,60.000004,6,0,0.0,0,0.0
evosuite-mo,30,FASTJSON-26,1,com.alibaba.fastjson.parser.deserializer.MapDeserializer,14,0,0,0,198,17,8.585858,126,13,10.31746,138,16,11.594203,16,11.594203
